DA4l,DC1,DL4,DL5,DM3,DM4,DP1m,VA2,VA4,VA6,VA7l,VC1,VC2,VL2a,VL2p,VM4,DM1,D,DA1,DA2,DA4m,DC2,DL2d,DL3,DM2,DM5,DM6,DP1l,V,VA1d,VA1v,VA3,VA5,VA7m,VM1,VM2,VM3,VM5d,VM7d,VM7v,Glomerulus 1,Glomerulus 2,Glomerulus 3,DA3,DC4,DL2v,VC4,VM5v,DC3,DL1,VL1,VC3,VC5,VM6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38638890737820186,0.6057478385325908,0.950687883707747,0.0,0.6468165759516,0.2685201732545405,0.334266688580993,0.2045575004161763,0.1505818124429537,0.2452467427370269,0.0656640792647247,0.2485701472229609,0.3122639811644333,0.5788095310459408
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49174359354239794,0.7845947113650781,0.8541313853853347,0.0306113265005545,0.5255175795620237,0.2160021390364834,0.3351106251734991,0.1558680090729791,0.2169360852000768,0.1320852022320769,0.0399241867667531,0.2502508351604613,0.2511971835268168,0.5153236928331445
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.30398675170465755,1.143049300495682,1.0237465293264616,0.0284014461647449,0.7094827461134455,0.183415246156006,0.2850197104128926,0.1912735678079519,0.1105459362440797,0.2046233266003819,0.0328996524649425,0.1482521914781458,0.2261783125778551,0.4184396173462075
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35921405526508243,1.0114976661315318,1.1643440260610918,0.0489723640476015,0.5974154033165204,0.3535246574312127,0.2656095206174669,0.1417601236378087,0.102285962871705,0.2565946020500055,0.0768472791931789,0.2868720966762322,0.2188711478832326,0.3945167052462261
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4025970173826595,0.7907445817779707,1.2558676834189633,0.0177534336864616,0.8143700559038735,0.1865295548467711,0.246066235597818,0.1791098751281325,0.0502610850102042,0.0763212286734099,0.0600682023565287,0.2222858062150469,0.204894354951074,0.3713374895771363
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4970626702827976,0.9112619019552838,1.0876638973535326,0.0713122092281503,0.6604823320836868,0.0947942804045015,0.1830458767644454,0.1893508752977558,0.0928459178411735,0.2983939289187997,0.0303543783826308,0.2231645803902819,0.2444418770839328,0.3404811171208107
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6000494377748111,1.3138960474504573,1.1385469294812496,0.0093675221275714,0.6332895597178342,0.0671538549344675,0.1330057592314477,0.2238709953076808,0.0844621833469088,0.2338212427245772,0.044506505700192,0.2261164227037692,0.2533991455525424,0.1411135364172508
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42865533961635927,1.0070218078577338,1.25361537738197,0.0068291218207697,0.5118947815136984,0.1166570663584702,0.2027115860099141,0.133301147439291,0.0684123312901847,0.1890579615313524,0.0418798645183752,0.1866552103513802,0.2718775503842434,0.0704522972178559
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5650409109062617,1.0162271813749626,1.0650452583500012,0.0256533281018517,0.6642490389768748,,0.2113764275590576,0.2421334406793478,0.083550120685983,0.2390137074132303,0.0392041597789035,0.1891057169188213,0.2079877599600382,0.118600846367206
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34576417105915547,0.5577501207689638,1.2396083458661007,0.025693155537936,0.6988673037602329,,,,0.0496715029987797,0.1754997054952553,0.0502152402138538,0.1009592224228331,0.1252375576029907,0.0581396980732861
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0762216732656473,,,,,,0.0157830008084223,0.6321507136793023,,,,0.0778699824310381,0.1995245208308221,0.0645504464463866,0.1495607793111369,0.1878974802084757,0.2047223067824057
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1510363243623478,,,,,,,,,,0.0,,,,,0.032204434008487,0.191171998345479,0.0321504781946617,0.2002254446790044,0.2676773310108956,0.2209031160726682
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1374614246573738,,,,,,0.0325828762064683,,,,,0.0040516555080063,0.1599990385348955,0.0334409313318473,0.2801899927472009,0.7529764290098928,0.3778712618061209
,,,0.4559580763507715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2956562662851411,0.0216153480643864,0.2530447896935822,,0.5080599855771388
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1333643315978953,0.0572298256903401,0.2485701472229609,,0.1898026447811324
,,,,,,,,,0.0225279081387987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1727413534604496,0.0395352465354754,0.2502508351604613,,0.0637011714420466
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4761549404275954,,,,,,,,,,,0.1292392527466388,0.043299870274517,0.1482521914781458,,0.1732750198212301
,,,,,,,,,,,,,,,0.1962985332239015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1957465820729433,0.0221351231629992,0.2868720966762322,,0.2123311970676003
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1265455698420368,,,,,,,,,,,,,,,,,0.1004601129703753,0.0523650280157729,0.2222858062150469,,0.2137217640397784
,,,,,,,,,,,,,,,,0.3030281681800168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.151877152226449,0.0625366771972007,0.2231645803902819,,0.2228339068370131
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.124385238543189,0.0150037317774946,0.2261164227037692,,0.1510710758469101
,,,,,,,,,,,,,,,,0.2415556109412553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1027733440751928,0.0380205588078513,0.1866552103513802,,0.2302643209163868
,,,,,,,0.0926889575041405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1480947536368886,0.0635914908663727,0.1891057169188213,,0.2374947367748155
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1254622095104648,,,,,,,,,,,,0.1404888253063004,0.0048271927865591,0.1009592224228331,,0.2544758941563819
,,,,,,,,,,,,,,,,,,0.0261309781837377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2769378901938658,0.0154373808416085,0.1495607793111369,,0.4379267111291297
,,,,,,,,,,,,,,,,,,0.0410386607551255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2163506011850906,0.0140337296987226,0.2002254446790044,,0.2005643565623672
,,,,,,,,,,,,,,,,,,,,,,,,0.1110117777604831,,,,,,,,,,,,,,,,,,,,,,,,,0.1631690460941772,0.0,0.2801899927472009,,0.0366694922878814
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.276750056318984,,,,,,,,,,,0.1644570143290074,0.0,0.2530447896935822,,0.1379297337274332
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2749014445325162,,,,,,,,,,,,,,,,,,,,,,0.1530337692980586,0.0049193961155609,,,0.2483888695218477
,,,,,,,,,,,,,,,,,,0.0587914094775371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1244986233588906,0.0,,,0.2492437168663848
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1025141210920947,0.0,,,0.1303756360689746
,,,,,,,,,,,,,,,,,,0.3553022035759962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1115800808307461,0.0,,,0.1906757868550814
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.086824663416276,,,,,,,,,,,,,,,,,,,,0.0974595329006084,0.0103782763696131,,,0.1604822702134082
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0668650610764314,,,,,,,,,,,,,,,,,,,,,0.207419502429775,0.0072075538161883,,,0.2641349769070075
,,,,,,,,,,,,,,,,,,,,,,,,,0.0466734457410106,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.1012883228642281
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.2402756703483332
,,,,,,,,,0.0326660247807297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.2233776016775118
,0.2717054134060114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.186854264326599
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.1501540937948398
,,,,,,,,,,,,,,,,0.2567963897444926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0304276421773195
,0.1534090963041648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.2495421735287011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.044159549906039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.1701559004570377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,0.0496000666931482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3809970144922869,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0.530617652482181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.5253524810556804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.2211354194576578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0.0171570811141315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0.3204767828424766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0906608194719082,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.0157907130740289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0.1822407358766544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.1318978979505969,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.2515911119502351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0.2647301794064222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,0.0551567471574922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0.373637409878965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0.0824043889102747,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.1642478281687902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.1070780774500252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0.2471490838954987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.0785895569898684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0.4610831192405238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0048476126433043,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.2284581238578894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.4143533997873697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1555884803506437,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0.0480323586001444,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0.0970979199880668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.1749076369980518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0.401691598177448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.049043094495227,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.048881293406287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0314719278314339,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.2044277218673734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3059350908516935,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1237527100575297,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0.2263633841896479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0.2686896540201654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0662972981260998,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3040536943412091,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3195860058957145,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.2062464140406296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.1204779966554066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0.1200350788045162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.0852503152154557,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0.4779926795034229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0.3951798811855015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0.3494483888180692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0.0618551668297438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0.0343478958910902,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,0.0467995791301091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.1003124857132985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5386442572461058,,,,,,,,,,,,,,
,,,0.2399633079917094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.0122896080524372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0368957157854232,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0.4498832162122096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0755007801465521,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0735212912645791,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0.1219468996896711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1001836022191447,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0451551109251767,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.0323852380295825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.2214629116055274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.2546299881085121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.5252117114444095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0178736600336394,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0.4059632423273231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,0.2086945275937532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.2246224308672808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0890010540098833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,0.0056478402225061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0.1070288605767427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.091558557702245,,,,,,,,,,,,,,,,
,,,,,,0.3733915701571733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.1445478612909683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1891997777698701,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.2680804571953377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.162141492378734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.106492296878288,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1135324267645797,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1677994567713132,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0287821398521588,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0.3187648337124089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.1668999704102386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2599577288348185,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0503885194713717,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0.1658795623748434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0201795678559678,,,,,,,,,,,,,,,,,,,,,,,,
,,0.136175962753217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0.1117720181190678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
